timestamp,mix,application,user,Source IP,Destination IP,Throughput,Avg Throughput,Min Throughput,Max Throughput,Total Measured Time,Total Bytes Sent,Total Bytes Sent By Source,Total Bytes Sent By Destination,Total Bytes Received,Total Bytes Received By Source,Total Bytes Received By Destination,Bytes Lost Percentage,Total Bytes Lost,Total Bytes Lost By Source,Total Bytes Lost By Destination,Datagrams Lost,Datagrams Lost By Source,Datagrams Lost By Destination,Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost,Max Maximum Consecutive DG Lost By Source,Max Maximum Consecutive DG Lost By Destination,Total Datagrams Sent,Total Datagrams Sent By Source,Total Datagrams Sent By Destination,Total Datagrams Received,Total Datagrams Received By Source,Total Datagrams Received By Destination,Total Duplicate DG Sent,Total Duplicate DG Sent By Source,Total Duplicate DG Sent By Destination,Total Duplicate DG Received,Total Duplicate DG Received By Source,Total Duplicate DG Received By Destination,Total DG Out of Order,Jitter,Avg Jitter,Min Jitter,Max Jitter,Delay Variation,Max Delay Variation,One-Way Delay,Avg One-Way Delay,Min One-Way Delay,Max One-Way Delay,Estimated Error,Maximum Error,Mos,Avg Mos,Min Mos,Max Mos,R-value,Avg R-value,End-to-End Delay,Avg End-to-End Delay,Jitter Buffer Lost Datagrams,Total Jitter Buffer Lost Datagrams,DF,Avg DF,Min DF,Max DF,MLR,Avg MLR,Min MLR,Max MLR,RSSI for Source,RSSI for Destination,BSSID for Source,BSSID for Destination,SSID for Source,SSID for Destination,Wi-Fi Link Speed for Source,Wi-Fi Link Speed for Destination,Wi-Fi Frequency for Source,Wi-Fi Frequency for Destination,Wi-Fi Channel for Source,Wi-Fi Channel for Destination,Latitude for Source,Latitude for Destination,Longitude for Source,Longitude for Destination,Total HTTP Video Upshifts,Total HTTP Video Downshifts,Total HTTP Video Very Low Quality Segments,Total HTTP Video Low Quality Segments,Total HTTP Video Medium Quality Segments,Total HTTP Video High Quality Segments,Total HTTP Video Very High Quality Segments,Avg HTTP Video Prebuffering Duration,Min HTTP Video Prebuffering Duration,Max HTTP Video Prebuffering Duration,Total HTTP Video Stopped Count,Total HTTP Video Stopped Duration,Total HTTP Video Buffer Full Count,Total HTTP Video Buffer Full Duration,HTTP Video Rate,Avg HTTP Video Rate,Min HTTP Video Rate,Max HTTP Video Rate
"4000","MAC","TCP High Performance (TCP)","6","192.168.2.102","192.168.2.29","1048560","1572840","1048560","2097120","4","786420","786420","0","786420","0","786420","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4000","MAC","TCP High Performance (TCP)","4","192.168.2.102","192.168.2.29","5242800","5504940","5242800","5767080","4","2752470","2752470","0","2752470","0","2752470","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","MAC","TCP High Performance (TCP)","6","192.168.2.102","192.168.2.29","524280","1223320","524280","2097120","6","917490","917490","0","917490","0","917490","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","MAC","TCP High Performance (TCP)","5","192.168.2.102","192.168.2.29","2097120","4106860","2097120","7077780","6","3080145","3080145","0","3080145","0","3080145","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","MAC","TCP High Performance (TCP)","4","192.168.2.102","192.168.2.29","2097120","4369000","2097120","5767080","6","3276750","3276750","0","3276750","0","3276750","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","MAC","TCP High Performance (TCP)","3","192.168.2.102","192.168.2.29","786420","1660220","786420","3407820","6","1245165","1245165","0","1245165","0","1245165","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","MAC","TCP High Performance (TCP)","2","192.168.2.102","192.168.2.29","2621400","5155420","2621400","9174900","6","3866565","3866565","0","3866565","0","3866565","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6000","MAC","TCP High Performance (TCP)","1","192.168.2.102","192.168.2.29","1572840","4019480","1572840","8912760","6","3014610","3014610","0","3014610","0","3014610","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8000","MAC","TCP High Performance (TCP)","6","192.168.2.102","192.168.2.29","786420","1114095","524280","2097120","8","1114095","1114095","0","1114095","0","1114095","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8000","MAC","TCP High Performance (TCP)","5","192.168.2.102","192.168.2.29","2359260","3669960","2097120","7077780","8","3669960","3669960","0","3669960","0","3669960","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
